Measures,Text 1
Language,en
Proper noun type-token ratio (Doc),0.43
Proper noun type-token ratio (Sent Avg),0.12
Proper noun type-token ratio (Sent SD),0.32
Proper noun type-token ratio (Sent Max),1.00
Proper noun type-token ratio (Sent Min),0.00
Lexical item type-token ratio (Doc),0.64
Lexical item type-token ratio (Sent Avg),0.98
Lexical item type-token ratio (Sent SD),0.056
Lexical item type-token ratio (Sent Max),1.00
Lexical item type-token ratio (Sent Min),0.71
Adposition type-token ratio (Doc),0.33
Adposition type-token ratio (Sent Avg),0.67
Adposition type-token ratio (Sent SD),0.47
Adposition type-token ratio (Sent Max),1.00
Adposition type-token ratio (Sent Min),0.00
Auxiliary type-token ratio (Doc),0.18
Auxiliary type-token ratio (Sent Avg),0.52
Auxiliary type-token ratio (Sent SD),0.49
Auxiliary type-token ratio (Sent Max),1.00
Auxiliary type-token ratio (Sent Min),0.00
Conjunction type-token ratio (Doc),0.24
Conjunction type-token ratio (Sent Avg),0.59
Conjunction type-token ratio (Sent SD),0.49
Conjunction type-token ratio (Sent Max),1.00
Conjunction type-token ratio (Sent Min),0.00
Determiner type-token ratio (Doc),0.16
Determiner type-token ratio (Sent Avg),0.57
Determiner type-token ratio (Sent SD),0.45
Determiner type-token ratio (Sent Max),1.00
Determiner type-token ratio (Sent Min),0.00
Numeral type-token ratio (Doc),0.67
Numeral type-token ratio (Sent Avg),0.070
Numeral type-token ratio (Sent SD),0.26
Numeral type-token ratio (Sent Max),1.00
Numeral type-token ratio (Sent Min),0.00
Particle type-token ratio (Doc),0.18
Particle type-token ratio (Sent Avg),0.34
Particle type-token ratio (Sent SD),0.47
Particle type-token ratio (Sent Max),1.00
Particle type-token ratio (Sent Min),0.00
Pronoun type-token ratio (Doc),0.15
Pronoun type-token ratio (Sent Avg),0.85
Pronoun type-token ratio (Sent SD),0.29
Pronoun type-token ratio (Sent Max),1.00
Pronoun type-token ratio (Sent Min),0.00
Grammatical item type-token ratio (Doc),0.20
Grammatical item type-token ratio (Sent Avg),0.91
Grammatical item type-token ratio (Sent SD),0.10
Grammatical item type-token ratio (Sent Max),1.00
Grammatical item type-token ratio (Sent Min),0.67
Verb type-token ratio (Doc),0.56
Verb type-token ratio (Sent Avg),0.97
Verb type-token ratio (Sent SD),0.10
Verb type-token ratio (Sent Max),1.00
Verb type-token ratio (Sent Min),0.50
Adverb-adjective ratio (Doc),1.00
Adverb-adjective ratio (Sent Avg),0.13
Adverb-adjective ratio (Sent SD),0.33
Adverb-adjective ratio (Sent Max),1.00
Adverb-adjective ratio (Sent Min),0.00
Interjection-adjective ratio (Doc),0.080
Interjection-adjective ratio (Sent Avg),0.023
Interjection-adjective ratio (Sent SD),0.15
Interjection-adjective ratio (Sent Max),1.00
Interjection-adjective ratio (Sent Min),0.00
Determiner-adjective ratio (Doc),1.72
Determiner-adjective ratio (Sent Avg),0.45
Determiner-adjective ratio (Sent SD),0.73
Determiner-adjective ratio (Sent Max),3.00
Determiner-adjective ratio (Sent Min),0.00
Adjective-noun ratio (Doc),0.31
Adjective-noun ratio (Sent Avg),0.24
Adjective-noun ratio (Sent SD),0.37
Adjective-noun ratio (Sent Max),1.00
Adjective-noun ratio (Sent Min),0.00
Interjection-noun ratio (Doc),0.025
Interjection-noun ratio (Sent Avg),0.016
Interjection-noun ratio (Sent SD),0.071
Interjection-noun ratio (Sent Max),0.33
Interjection-noun ratio (Sent Min),0.00
Proper noun-noun ratio (Doc),0.086
Proper noun-noun ratio (Sent Avg),0.11
Proper noun-noun ratio (Sent SD),0.38
Proper noun-noun ratio (Sent Max),2.00
