Measures	Text 1
Language	en
Present tense incidence (Sent Min)	0.00
Passive voice incidence (Doc)	1.82
Passive voice incidence (Sent Avg)	5.41
Passive voice incidence (Sent SD)	32.88
Passive voice incidence (Sent Max)	200.00
Passive voice incidence (Sent Min)	0.00
Adjective type count (Doc)	39.00
Adjective type count (Sent Avg)	1.32
Adjective type count (Sent SD)	1.16
Adjective type count (Sent Max)	6.00
Adjective type count (Sent Min)	0.00
Adverb type count (Doc)	20.00
Adverb type count (Sent Avg)	0.62
Adverb type count (Sent SD)	0.83
Adverb type count (Sent Max)	3.00
Adverb type count (Sent Min)	0.00
Interjection type count (Doc)	0.00
Interjection type count (Sent Avg)	0.0
Interjection type count (Sent SD)	0.0
Interjection type count (Sent Max)	0.00
Interjection type count (Sent Min)	0.00
Lexical verb type count (Doc)	80.00
Lexical verb type count (Sent Avg)	2.38
Lexical verb type count (Sent SD)	1.52
Lexical verb type count (Sent Max)	7.00
Lexical verb type count (Sent Min)	0.00
Noun type count (Doc)	80.00
Noun type count (Sent Avg)	2.97
Noun type count (Sent SD)	2.05
Noun type count (Sent Max)	8.00
Noun type count (Sent Min)	0.00
Proper noun type count (Doc)	3.00
Proper noun type count (Sent Avg)	0.54
Proper noun type count (Sent SD)	0.61
Proper noun type count (Sent Max)	2.00
Proper noun type count (Sent Min)	0.00
Lexical item type count (Doc)	218.00
Lexical item type count (Sent Avg)	7.84
Lexical item type count (Sent SD)	4.01
Lexical item type count (Sent Max)	19.00
Lexical item type count (Sent Min)	2.00
Adposition type count (Doc)	23.00
Adposition type count (Sent Avg)	1.57
Adposition type count (Sent SD)	1.37
Adposition type count (Sent Max)	5.00
Adposition type count (Sent Min)	0.00
Auxiliary type count (Doc)	9.00
Auxiliary type count (Sent Avg)	0.51
Auxiliary type count (Sent SD)	0.65
Auxiliary type count (Sent Max)	3.00
Auxiliary type count (Sent Min)	0.00
Conjunction type count (Doc)	9.00
Conjunction type count (Sent Avg)	0.76
Conjunction type count (Sent SD)	0.93
Conjunction type count (Sent Max)	3.00
Conjunction type count (Sent Min)	0.00
Determiner type count (Doc)	6.00
Determiner type count (Sent Avg)	1.16
Determiner type count (Sent SD)	0.69
Determiner type count (Sent Max)	3.00
Determiner type count (Sent Min)	0.00
Numeral type count (Doc)	1.00
Numeral type count (Sent Avg)	0.054
Numeral type count (Sent SD)	0.23
Numeral type count (Sent Max)	1.00
Numeral type count (Sent Min)	0.00
Particle type count (Doc)	5.00
Particle type count (Sent Avg)	0.41
Particle type count (Sent SD)	0.64
Particle type count (Sent Max)	2.00
Particle type count (Sent Min)	0.00
Pronoun type count (Doc)	14.00
Pronoun type count (Sent Avg)	1.22
Pronoun type count (Sent SD)	0.95
Pronoun type count (Sent Max)	3.00
Pronoun type count (Sent Min)	0.00
Grammatical item type count (Doc)	61.00
Grammatical item type count (Sent Avg)	5.57
Grammatical item type count (Sent SD)	2.54
Grammatical item type count (Sent Max)	11.00
Grammatical item type count (Sent Min)	1.00
Verb type count (Doc)	88.00
Verb type count (Sent Avg)	2.89
Verb type count (Sent SD)	1.70
Verb type count (Sent Max)	8.00
Verb type count (Sent Min)	0.00
Word length (Doc)	4.36
Word length (Sent Avg)	4.42
Word length (Sent SD)	0.64
Word length (Sent Max)	6.60
Word length (Sent Min)	3.15
Sentence length (Doc)	14.81
Sentence length (Sent Avg)	14.81
Sentence length (Sent SD)	7.33
Sentence length (Sent Max)	31.00
Sentence length (Sent Min)	5.00
Paragraph length (Doc)	2.85
Type-token ratio (Doc)	0.51
Type-token ratio (Sent Avg)	0.92
Type-token ratio (Sent SD)	0.075
Type-token ratio (Sent Max)	1.00
Type-token ratio (Sent Min)	0.70
Moving average type-token ratio (Doc)	0.73
Honoré's statistic (Doc)	998.21
Letter entropy (Doc)	4.19
Letter entropy (Sent Avg)	3.86
Letter entropy (Sent SD)	0.23
Letter entropy (Sent Max)	4.20
Letter entropy (Sent Min)	3.24
Word entropy (Doc)	7.26
